Notarzt;pkw;red;Rote Ampel;2010;12.05.2010;0;0;0;ja;;;
notarzt;pkw;breaking;Ausweichmanöver;2010;11.05.2010;1;0;0;ja;Mittags(12);;
polizei;pkw;intersection;`?;2010;10.05.2010;4;0;0;ja;;;
nef;pkw;turning;abbiegen;2010;07.05.2010;0;0;0;ja;;;Innerorts
rtw;pkw;overtaking;Überholvorgang;2010;05.05.2010;0;0;0;ja;;;
Feuerwehrauto;lkw;overtaking;Überholvorgang;2010;03.05.2010;0;0;0;ja;abends(22);;Landstrasse
rettungswagen;pkw;oncoming traffic;?;2010;01.05.2010;2;0;0;ja;;;
Organtransport;lkw;unknown;?;2010;29.04.2010;0;0;0;ja;;;Autobahn
Feuerwehr;pkw;red;Rote Ampel;2010;23.04.2010;0;0;0;ja;;;
Feuerwehr;pkw;red;Rote Ampel;2010;23.04.2010;0;0;0;ja;;;
RTW;pkw;intersection;kreuzung;2010;22.04.2010;0;0;0;ja;;;
Notarzt;pkw;turning;Einbiegen;2010;21.04.2010;0;0;0;ja;;;
NEF;pkw;red;Rote Ampel;2010;20.04.2010;3;0;0;ja;;;
Notarzt;pkw;red;Rote Ampel;2010;15.04.2010;0;0;0;ja;;;
Polizei;Strassenbahn;turning;abbiegen;2010;13.04.2010;2;0;0;ja;Nachmittags;;Innerorts
Rettungswagen;pkw;rear-end collision;?;2010;01.04.2010;0;0;0;ja;;;
polizei;Transporter;misc;anfahrt gestreift;2010;29.03.2010;0;0;0;ja;;;
Rettungswagen;pkw;overtaking;Überholvorgang;2010;29.03.2010;2;0;0;ja;morgens (8);;
Notarzt;pkw;intersection;Kreuzung;2010;29.03.2010;0;0;0;ja;;;
Rettungswagen;pkw;intersection;Kreuzung;2010;28.03.2010;3;0;0;ja;;;
Polizei;Transporter;rear-end collision;Ampel (abbremsen auffahren);2010;25.03.2010;0;0;0;ja;;;
Rettungswagen;pkw;red;Rote Ampel;2010;22.03.2010;6;0;0;ja;;;
Polizei;pkw;red;Rote Ampel;2010;20.03.2010;0;0;0;ja -martinshorn ?;;;
polizei;pkw;red;Rote Ampel;2010;19.03.2010;2;0;0;ja ohne martinshorn;;;
polizei;pkw;red;Rote Ampel;2010;10.03.2010;0;0;0;ja;;;
Notarzt;Transporter;overtaking;?;2010;10.03.2010;;;;ja;;;
Feuerwehr;pkw;red;Rote Ampel;2010;09.03.2010;2;0;0;ja;;;
Polizei;Rettungswagen;icy;glätte;2010;07.03.2010;0;0;0;nein;;;
Notarzt;lkw;icy;glätte;2010;06.03.2010;0;0;0;ja;mittag;;Landstrasse
Feuerwehr;Baum;oncoming traffic;Fahrbahn abgekommen;2010;05.03.2010;1;0;0;ja;mittag (14uhr);;Landstrasse
Feuerwehr;pkw;intersection;Kreuzung;2010;03.03.2010;1;0;0;ja;abends;;
Rettungswagen;pkw;overtaking;überholvorgang;2010;03.03.2010;3;0;0;ja ohne martinshorn;;;
Polizei;pkw;intersection;Kreuzung?;2010;02.03.2010;3;0;0;ja ;;;Innerorts
Polizei;pkw;rear-end collision;?;2010;02.03.2010;2;0;0;ja;;;
NEF Feuerwehr;pkw;oncoming traffic;gegenverkehr ?;2010;25.02.2010;0;0;0;ja;;;
Rettungswagen;pkw;overtaking;Überholvorgang;2010;25.02.2010;1;0;0;ja;;;Innerorts
Rettungswagen;pkw;intersection;Kreuzung;2010;23.02.2010;0;3;0;ja;;;
Polizei;;icy;glätte;2010;22.02.2010;0;0;0;ja;;;
Polizei;pkw;rear-end collision;ausffahren, bremsen;2010;21.02.2010;3;0;0;ja;;;Autobahn
RTW;pkw;intersection;?;2010;16.02.2010;3;0;0;ja;;;
polizei;Strassenbahn;red;bahnübergang;2010;16. Febraur 2010;0;1;0;ja;Nachts (23Uhr);;innerorts
rettungswagen;pkw;alcohol;Alkohol;2010;15. Febrauar 2010;0;0;0;ja;Nachts ;;Innerorts
Rtw;pkw;red;Rote Ampel;2010;14.02.2010;0;0;0;ja;;;
Feuerwehr;pkw;red;Rote Ampel;2010;14.02.2010;2;0;0;ja;;;
RTW;pkw;oncoming traffic;gegenverkehr ?;2010;13.02.2010;6;0;0;ja;;;
RTW;pkw;turning;abbiegen;2010;12.02.2010;2;0;0;ja;;;
NEF;pkw;Oneway;einbahnstrasse verkehrt;2010;07.02.2010;1;0;0;ja;;;
